Objetivo,Categoría,Dificultad
Meditar 10 minutos,Salud,2
Caminar 30 minutos,Ejercicio,1
Escribir una carta de agradecimiento,Social,1
Probar una receta saludable,Dieta,1
Jugar un juego de mesa con alguien,Social,1
Beber 3 litros de agua,Salud,1
Realizar ejercicios de respiración profunda,Salud,2
Evitar snacks procesados,Dieta,1
Llamar a un amigo para saber cómo está,Social,2
Leer un poema inspirador,Bienestar,2
Hacer pausas de pantalla cada 30 minutos,Salud,1
Salir a observar la naturaleza,Bienestar,1
Completar un informe pendiente,Trabajo,1
Preparar una comida saludable,Dieta,1
Actualizar tus objetivos profesionales,Trabajo,2
Escribir una reflexión sobre tu día,Académico,2
Enviar un mensaje de ánimo a un conocido,Social,1
Planificar tus comidas del día siguiente,Dieta,2
Conocer a una persona nueva,Social,1
Unirse a una actividad comunitaria,Social,2
Jugar un deporte durante 30 minutos,Ejercicio,2
Escribir objetivos académicos,Académico,2
Evitar bebidas azucaradas todo el día,Dieta,2
Organizar tu espacio personal,Bienestar,2
Escribir 3 cosas por las que estás agradecido,Bienestar,1
Responder todos los correos electrónicos importantes,Trabajo,1
Revisar tus apuntes de clase,Académico,2
Compartir un mensaje positivo en redes sociales,Social,2
Ayudar a alguien con una tarea pequeña,Social,2
Bailar durante 15 minutos,Ejercicio,2
Hacer una actividad al aire libre con alguien,Social,2
Practicar yoga 20 minutos,Ejercicio,2
Usar protector solar al salir,Salud,2
Ver un video educativo,Académico,2
Escuchar música relajante 15 minutos,Bienestar,2
Hacer una donación a una causa benéfica,Social,2
Escribir un diario durante 10 minutos,Bienestar,2
Escribir un ensayo corto sobre un tema de interés,Académico,1
Pasar 10 minutos en silencio,Bienestar,2
Tomar un té sin azúcar,Dieta,2
Estudiar un tema nuevo durante 20 minutos,Académico,1
Asistir a un evento local,Social,1
Hacer 10 minutos de estiramientos,Ejercicio,1
Subir y bajar escaleras durante 10 minutos,Ejercicio,2
Asistir a una reunión importante,Trabajo,1
Documentar un proceso o procedimiento,Trabajo,1
Hacer 20 abdominales,Ejercicio,1
Hacer una caminata corta al aire libre,Salud,2
Comer una porción de frutas,Dieta,2
Dormir 7 horas,Salud,1
Invitar a alguien a tomar un café,Social,1
Organizar tus materiales de estudio,Académico,2
Compartir algo bueno que te pasó con un amigo,Social,1
Planificar tu semana laboral,Trabajo,2
Evitar alimentos procesados por un día,Salud,2
Practicar gratitud escribiendo una carta,Bienestar,2
Aprender una nueva habilidad relacionada con tu trabajo,Trabajo,1
Dedicar 30 minutos a un proyecto personal de trabajo,Trabajo,2
Leer 10 páginas de un libro,Académico,2
Tomar una infusión relajante,Salud,2
Comer un desayuno equilibrado,Dieta,2
Revisar y actualizar tu currículum,Trabajo,1
Incluir verduras en tus comidas,Dieta,2
Organizar una reunión con amigos,Social,1
Realizar una caminata rápida de 20 minutos,Ejercicio,1
Escribir un resumen de lo aprendido,Académico,2
Dedicar tiempo a un pasatiempo,Bienestar,1
Completar una tarea pendiente,Académico,2
Organizar tu espacio de trabajo,Trabajo,2
Enviar un mensaje positivo a alguien,Bienestar,2
Tener una conversación significativa con un familiar,Social,2
